president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
Joe Biden,All polls,01-25-23,42.05,46.537319,37.568373,52.16,56.615496,47.71226,17:57:44 25 Jan 2023,-10.11,2023-01-25 17:57:44,Jan. 25
Joe Biden,All polls,01-24-23,42.33,46.740498,37.920753,52.05,56.667619,47.428037,10:31:44 24 Jan 2023,-9.72,2023-01-24 10:31:44,Jan. 24
Joe Biden,All polls,01-23-23,42.25,46.847907,37.642588,52.17,56.851091,47.490186,09:12:58 23 Jan 2023,-9.93,2023-01-23 09:12:58,Jan. 23
Joe Biden,All polls,01-20-23,42.25,46.847904,37.64259,52.17,56.851093,47.490185,18:06:43 20 Jan 2023,-9.93,2023-01-20 18:06:43,Jan. 20
Joe Biden,All polls,01-19-23,43.39,48.232139,38.551537,51.32,55.742745,46.893202,09:18:43 19 Jan 2023,-7.93,2023-01-19 09:18:43,Jan. 19
Joe Biden,All polls,01-18-23,43.62,48.645442,38.598964,50.96,55.366424,46.555741,19:29:42 18 Jan 2023,-7.34,2023-01-18 19:29:42,Jan. 18
Joe Biden,All polls,01-17-23,43.89,48.271523,39.513686,50.94,55.822298,46.049092,09:52:36 17 Jan 2023,-7.04,2023-01-17 09:52:36,Jan. 17
Joe Biden,All polls,01-13-23,43.9,48.277002,39.519459,50.97,55.853242,46.081116,09:09:42 13 Jan 2023,-7.07,2023-01-13 09:09:42,Jan. 13
Joe Biden,All polls,01-12-23,43.91,48.304283,39.518451,50.95,55.814302,46.082118,16:40:44 12 Jan 2023,-7.04,2023-01-12 16:40:44,Jan. 12
Joe Biden,All polls,01-11-23,44.12,48.016948,40.225702,50.93,56.090935,45.775313,17:04:43 11 Jan 2023,-6.81,2023-01-11 17:04:43,Jan. 11
Joe Biden,All polls,01-10-23,43.74,47.424428,40.050208,51.5,56.529694,46.470354,15:13:42 10 Jan 2023,-7.76,2023-01-10 15:13:42,Jan. 10
Joe Biden,All polls,01-09-23,43.5,47.694974,39.298634,51.04,55.571868,46.514605,09:23:54  9 Jan 2023,-7.55,2023-01-09 09:23:54,Jan. 09
Joe Biden,All polls,01-06-23,43.5,47.694972,39.298635,51.04,55.571869,46.514605,10:55:43  6 Jan 2023,-7.55,2023-01-06 10:55:43,Jan. 06
Joe Biden,All polls,01-05-23,43.45,47.586693,39.305478,51.07,55.594473,46.544605,09:11:42  5 Jan 2023,-7.62,2023-01-05 09:11:42,Jan. 05
Joe Biden,All polls,01-04-23,43.49,47.469822,39.501754,50.92,55.599372,46.234366,11:51:42  4 Jan 2023,-7.43,2023-01-04 11:51:42,Jan. 04
Joe Biden,All polls,01-03-23,43.34,47.458191,39.223999,51.32,55.427872,47.220619,09:15:30  3 Jan 2023,-7.98,2023-01-03 09:15:30,Jan. 03
Joe Biden,All polls,12-30-22,43.34,47.458197,39.223994,51.32,55.427872,47.220619,09:41:41 30 Dec 2022,-7.98,2022-12-30 09:41:41,Dec. 30
Joe Biden,All polls,12-29-22,43.23,47.22386,39.244402,51.44,55.535676,47.335185,09:22:42 29 Dec 2022,-8.2,2022-12-29 09:22:42,Dec. 29
Joe Biden,All polls,12-28-22,43.27,47.279065,39.254813,51.41,55.628901,47.189925,09:40:43 28 Dec 2022,-8.14,2022-12-28 09:40:43,Dec. 28
Joe Biden,All polls,12-27-22,43.16,47.064962,39.256222,51.51,55.711506,47.309583,09:14:52 27 Dec 2022,-8.35,2022-12-27 09:14:52,Dec. 27
Joe Biden,All polls,12-24-22,43.05,46.866968,39.22617,51.59,55.785288,47.388784,10:38:18 24 Dec 2022,-8.54,2022-12-24 10:38:18,Dec. 24
Joe Biden,All polls,12-22-22,43.05,46.86697,39.226168,51.59,55.785287,47.388785,09:28:42 22 Dec 2022,-8.54,2022-12-22 09:28:42,Dec. 22
