president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
Joe Biden,Voters,03-06-23,44.57,48.478587,40.667886,51.58,56.068536,47.084679,09:27:50  6 Mar 2023,-7.0,2023-03-06 09:27:50,Mar. 06
Joe Biden,Voters,03-03-23,44.57,48.47859,40.66789,51.58,56.06853,47.08468,12:05:50  3 Mar 2023,-7.0,2023-03-03 12:05:50,Mar. 03
Joe Biden,Voters,03-02-23,44.37,48.275381,40.470625,51.85,56.417488,47.27716,14:38:17  2 Mar 2023,-7.47,2023-03-02 14:38:17,Mar. 02
Joe Biden,Voters,03-01-23,44.28,48.167643,40.395212,52.02,56.583875,47.460118,14:02:16  1 Mar 2023,-7.74,2023-03-01 14:02:16,Mar. 01
Joe Biden,Voters,02-28-23,44.38,48.347703,40.412274,51.62,56.371863,46.860004,16:29:16 28 Feb 2023,-7.24,2023-02-28 16:29:16,Feb. 28
Joe Biden,Voters,02-27-23,44.38,48.462714,40.303216,51.69,56.548259,46.82884,10:52:19 27 Feb 2023,-7.31,2023-02-27 10:52:19,Feb. 27
Joe Biden,Voters,02-26-23,44.49,48.698004,40.275563,51.57,56.479893,46.66727,12:54:26 26 Feb 2023,-7.09,2023-02-26 12:54:26,Feb. 26
Joe Biden,Voters,02-24-23,44.49,48.698004,40.275563,51.57,56.479893,46.66727,17:14:15 24 Feb 2023,-7.09,2023-02-24 17:14:15,Feb. 24
Joe Biden,Voters,02-23-23,44.73,49.049404,40.407282,51.2,56.04857,46.351401,16:27:16 23 Feb 2023,-6.47,2023-02-23 16:27:16,Feb. 23
Joe Biden,Voters,02-22-23,44.99,49.437614,40.533575,50.93,55.988888,45.876689,15:14:15 22 Feb 2023,-5.95,2023-02-22 15:14:15,Feb. 22
Joe Biden,Voters,02-21-23,43.93,47.635428,40.224596,51.99,56.230247,47.740025,10:13:15 21 Feb 2023,-8.06,2023-02-21 10:13:15,Feb. 21
Joe Biden,Voters,02-20-23,43.66,47.267863,40.060111,52.27,56.61706,47.922853,12:50:30 20 Feb 2023,-8.61,2023-02-20 12:50:30,Feb. 20
Joe Biden,Voters,02-17-23,43.66,47.267863,40.060111,52.27,56.61706,47.922853,15:16:15 17 Feb 2023,-8.61,2023-02-17 15:16:15,Feb. 17
Joe Biden,Voters,02-16-23,44.0,47.652394,40.33766,51.7,56.055421,47.338033,11:17:14 16 Feb 2023,-7.7,2023-02-16 11:17:14,Feb. 16
Joe Biden,Voters,02-15-23,44.2,47.619746,40.783733,51.11,55.522867,46.691647,11:46:15 15 Feb 2023,-6.91,2023-02-15 11:46:15,Feb. 15
Joe Biden,Voters,02-14-23,44.08,47.57135,40.592661,51.02,55.538904,46.497393,09:25:13 14 Feb 2023,-6.94,2023-02-14 09:25:13,Feb. 14
Joe Biden,Voters,02-13-23,44.01,47.811194,40.207461,51.47,55.883559,47.059564,09:07:24 13 Feb 2023,-7.46,2023-02-13 09:07:24,Feb. 13
Joe Biden,Voters,02-11-23,44.01,47.811194,40.207461,51.47,55.883559,47.059564,19:57:15 11 Feb 2023,-7.46,2023-02-11 19:57:15,Feb. 11
Joe Biden,Voters,02-10-23,43.95,47.777349,40.128591,51.4,55.849866,46.941614,16:24:14 10 Feb 2023,-7.44,2023-02-10 16:24:14,Feb. 10
Joe Biden,Voters,02-09-23,43.86,47.645937,40.072088,51.47,55.960457,46.984891,09:31:14  9 Feb 2023,-7.61,2023-02-09 09:31:14,Feb. 09
Joe Biden,Voters,02-08-23,43.84,47.619406,40.051091,51.45,55.92289,46.980341,14:11:14  8 Feb 2023,-7.62,2023-02-08 14:11:14,Feb. 08
